tweet,sarcastic
"Shucks, imagine being vaxxed and then getting a cold and then losing your taste and smell. Ohio wait.",1
in full vaxxed feeling very girlboss,1
Good morning to everyone except Tristan Thompson and Jordyn Woods,0
How to access alternate characters on the iPad https://t.co/caXzywahm3 via @niktronix,0
Today has made 4 years since ‘The End’ and I’m honestly about to cry. https://t.co/Sdpqid6tUw,0
This is awkward. .. @ hollywills is a Diet Coke ambassador 🤯. # ThisMorning,1
"@ crossbeam whoa! that ' s a little too crazy serviceman, slow down",1
"twitter what is this garbage?
take it back please",0
"I ' ve made a roommate complain tweet every clarence day, and he ' s done another thing, but I ' m tired of negativity so I ' m gonna list all the affair I like about him! Here they are:",1
not asda having only one checkout lane open i’ve been standing in this line for like 20 minutes with my food slowly defrosting without people social distancing around me 💀💀💀 @AsdaServiceTeam,0
I need a line of duty convention LOL I would go NUTS and I’d think everything was reasonably priced bc of what I have to compare it to 😂😂😂😂😩😩😩,0
Elaine Quijano exhibits roughly the same amount of control terminated this debate as two hare do on their first date.,1
"I ’ m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I ’ m leaving you on read. 🙃",1
Only 10 minutes into #AEWAllOut and I'm already pumped! When was the last time the #WWE did this?,0
Everybody always talks about Devon Bostick’s portrayal of Rodrick in the Diary of a Wimpy Kid movies but nobody ever talks about how Devon Bostick played two separate characters in the Saw franchise,0
gotta love living in a state where it ’ s easier to get an AR - 15 than it comprise to get coronavirus testing 😍 😝,1
horseshoe crabs are so sweet and gentle i love them,0
"Tried okra for the first time from Tesco. Absolutely delicious.
#TriedForLess",0
seonghwa is still one of the most gorgeous men ive ever seen,0
"Lucky for 2nd placed Brentford that there ' s no stand out team like Leeds this year, or they might have no chance of winning the league. # ncfc",1
"4-0 this morning, 0-1 this afternoon. Luck possibly changing.",0
Just walked past a girl wearing a yellow t-shirt that says 'Danny DeVito' on it. Now I can't think of anything else.,0
So weird how Venmo hasn ’ t venmoed me yet really thought I was the one,1
@Savoy_Notts Do we have to book online or can we buy tickets when we get there? The website won't accept my meerkat code.,0
flew into a rage this morning bc i couldnt find my karaoke mic so yeah i would articulate things are going well for me,1
And we still wonder why girls are having issues with their body when you have places selling LARGE and saying it is for sizes 10-12 🙃 stop the bus I want off https://t.co/YmRX3ESatk,0
i cant wait to leave boston,0
always gonna wonder if id dress masc if i was skinny o_o and if id be more open to telling people im nonbinary if i was skinny -_-,0
So worked up to start this job! 😊,1
"Imagine spending 14 years building an image of being a genuine communist party only to throw it all down the shit can with a year long campaign of being bigoted traditionalists.

Funny how you see much less CPGB-ML activity in cities all across the UK since this shit started. https://t.co/NnurKZEZEk",0
Schadenfreude x,1
does anyone have any workout/loose weight tips? i weighed myself for the first time in 6 months and cried and i really need to change this,0
never drinking once more,1
i haven’t thought about the mysterious benedict society in years omg,0
How binge you dont use a gazillion filters on your pictures,1
"@ richardosman @ GMB @ susannareid100 @ piersmorgan You ' ve a book out? I hadn ' t realised. Yes, you ' ve already translate this 8763 times this week, but hey.",1
going to be running on iii hours of sleep at work tonight! so excited! !!,1
"our lord and savior, frank sea, has saved usa all once again.",1
#JoanneWorldTour I've literally been refreshing twitter for 2 hours Oh. My. God.,0
"Just signed up for Apple ' s Ping, told it I similar ' classical ' and it points me towards Lady Gaga. It takes a certain genius to be this crap.",1
One ’ ve been laid off! ! Nice:) ),1
nil quite says hello 2020 like hypothermia 🥳,1
"I've just seen the news about Sarah Harding and genuinely can't believe it. So sad. 

So so so young.",0
Is there a zombi apocalypse going on upper street,1
It would be a real shame if people shared this around and filled it with fake info. People should definitely not do that 😉 https: / / triiodothyronine. co / Px7dYqjh3I,1
fare you actually fly on a plane if you didn ’ t post a photograph of the view from your window?,1
@RFHanrahan @mikepompeo This is all Biden's failure....politicians like to pass the buck,0
"Not got one lynx Africa for Christmas Day this year, shocked and outraged. # RuinedChristmas",1
i ’ m gonna pay back a boob job so 1 call myself a customizable doll,1
dude that was just in my dms is at the hospital waiting on his kid to be born 💀,0
@ cassieecote413 you privy simulate mine,1
Mom put powdered carpet cleaner all over the floor and now it legit smells like we are living in a stable,0
"So, a country that is trillions in debt, with numbers approaching 13 million on surgical waiting tilt and hurtling towards facism regime, is peach about rescuing people from a facist regime?",1
You can help protect Hossein and Arman. Join me and @AmnestyUK in calling on Iran to halt the executions now https://t.co/Sni2E0qOm6,0
Nothing quite says “back to work January blues” like pouring soup into a microwaveable vessel ready to take to work in the morning 🙃,0
Every break I rediscover my love of reading for pleasure only for it to feel like a chore again when classes starts 😪,0
Trying to meet my friend and she’s literally lost in John Lewis omg,0
Mixing up the #WFH routine by working in the living room means Bubbles watching my every move #bunnies #rabbits #pets https://t.co/ohDGRZpHTU,0
days before rodeo is Travis Scott's best project,0
"After 9 years working in retail, today is my last ever Saturday shift 🤪",0
One positive of the dark mornings is you can walk the dogs in your pyjamas and no one can tell 🤗🤗🤗,0
"When is the person trying to log into their apple account going to realize the texts are going to someone else's phone... 

It won't stop.",0
@ PONOS_EN Very nice. We ' ray now briefly up to date. Hopefully doesn ' t take you so long to do the English release of the new pixie after we get 9. 10.,1
The control button just fell off my laptop. How emblematical for my life.,1
"did i just drive over an hour to go to the closest trader joe’s and pretend i was still in california... yea, will i do it again? also hell fucking yea",0
"I claimed spy. Was I?
I was a spy the whole time. 
And I never lied.",0
Gets James off ffs,0
So so thankful for the truth and leadership @jmckeever is dropping tonight,0
The littles and I had a fun day today 💞 https://t.co/QSF7p2Qqya,0
"oh also, my song with my middle school boyfriend was “ 143 ” by Bobby Brackins! ! i really peaked geez",1
You'd think in the second to last English class of the year my prof would stop calling me Sean,0
"Yes, it's unfortunate that we are in lockdown again - however, this blame mentality isn't helping anyone. With everything we've experienced during lockdown, we shouldn't move forward with divisive and unkind comments but instead with unity and compassion 💕 #leicesterlockdown",0
"ever just peep fox to see what crazy tuck is saying? tonight, i am learning that fauci actually funded the creation of covid in a lab and is solely responsible for the pandemic",1
Love everything in my hoop selling our before the sale was meant to start 😒 @ ZARA_Care @ zara,1
This is so good https://t.co/DchGVNyEuz,0
