tweet,sarcastic
my friends supporting my little business has to be the most heartwarming thing🥺 so lucky,0
Overthinking everything in life really takes a toll on you,1
Day five and we just spent £10 on egg fried rice,0
"Have the most balanced diet, a healthy balance of codeine, panadol and ibuprofen....",1
when someone’s phone goes off in a quiet room an angel gets its wings,0
Hot dog eating contest as a form of assisted suicide,1
High stakes legos,1
@ThomasCabaret84 @MicrobiomDigest @raoult_didier Surely you’re not suggesting that their own thorough investigation of their own suspected &lt;fraud&gt; (which found no evidence for said &lt;fraud&gt;) was carried out with anything but the very  highest levels of integrity? Seems completely legit to me…,1
me and noah forgot that today is our anniversary. if that isn’t couple goals then idk what is 😌,1
gonna become a singer just so i can do the lil song association game,0
im ollie im 5'8 and i think my 5'7 boyfriend is short,1
"The defunding of higher education is a purposeful action against leftism which educated people tend towards, particularly in colleges of education, writing, and humanities where they are known to cluster. “Then take up a trade” is artfully packaged book burning.",0
Yay for being locked out of your own  house because you forgot your key,1
Beautiful exhibition of origami peace cranes at Edinburgh's St John's Church. https://t.co/XCwDzMLjsz,0
i keep thinking about the time that @becellison17 told me i had a “swiftie phone” idek what that means,0
tell me why i thought north korea was actually bombing us when the tornado warning alarm came on,0
Wish growing your hair was as quick as chopping it off,0
The most wonderful time of the year ✨ in my element 🥰🎄 https://t.co/Lg40FMwaXI,0
my vibe is garth Brooks song “the thunder rolls” but the 3rd verse when the wife shoots her husband for cheating on her,0
'Margaret Thatcher' is trending... has 2016 taken another one?,1
"Thinking about that time Blizzard had the brilliant idea to change everyone's name on their forums to their real names. God, what an idea that was.",1
WTF!!! #billcosby conviction was just overturned by the Pennsylvania Supreme Court!!!! #wtf #WHY #me2 @BillCosby,0
"If your website still has a google plus share button, forgive me if I’m not tripping over myself to take your information as credible or current.",1
The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing,1
Dear No Label Academy students… we’re still not done. Each and every one of you will receive a brand new MacBook to continue your musical journey’s. ❤️ https://t.co/Aod5lrXPmb,0
"Context: ~leg day~
Jacob: I need power
*plays Britney Spears*
Yes sir I love u",0
My gf has been in the Hamptons nannying for a few hours and she has already been to a POLO match. Is she in GOSSIP GIRL?,1
do i like him or is his hair just curly??,1
CLB cover art makes me want to pound my knees with a hammer.,1
craving an ice pick lobotomy on this Friday afternoon,1
Today is another day where I haven't met Danny Devito and I am sad,0
a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more.,1
"Got my coin today! Unfortunately it was chocolate but at least it was tasty! 

#goldorchocolate @millions https://t.co/6KqC3gzFN5",0
i have this really good looking kimchi ramen but no bowl to put it in 😡😡😡,0
"Without looking it up, how long has it been since that ship blocked the suez?",0
naming my son onickolas in honor of my love for @NICKIMINAJ,1
"Does the actor make a line famous, or does the writer?",0
"Stimulus checks should come with hand lotion, a face mask, and a bonus for every Instagram bingos you do",1
It's been a productive last day. Maxed Out all my credit cards in preparation of my Rapture tomorrow!!! #iwishwehadallbeenready,1
only have to physically be in uni for an hour a week looool mmmm take my 9k xxxxx,1
I love health insurance so much fun paying $100’s a month and then $100’s for basic medical services that somehow aren’t covered. #America,1
not the first week of september already being over what the fuck,0
Exams have finally finished!! I can be happy again #woooooo,0
Feeling the love with 4 different people wishing me good luck on my exam today #didicomplainaboutitthatmuch,0
Sometimes I wonder if Priti Patel and Boris Johnson think that the Prime Minister is the one with the best K/D ratio. It would make sense with the whole 'let the bodies pile high' thing.,1
"Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",1
Happy birthday to me. I got pinged and can't leave the house 🥰🤡,1
So do men really not understand the expenses of raising a child or is it willful ignorance to vilify the women in their lives? Or some kind of terrible combo?,0
"According to my road rage, the word of the day is asshat",1
is this an earthquake because i am shook right now,1
"""You think you're better than us because you're vaccinated??"" Uh, yeah, yeah I do",0
"Fav this and I won't send you a name of a random person, I'll just get a fav on my tweet",1
Need a new job 🙄,0
"Here comes the final of the UK #DailyBriefing - who will win, Johnson or Covid?",1
"I never thought I'd say this, but I have become one of those people who like bounty bars.",1
WHO LET THE LAUNDRY PILE UP 5 BASKETS. Goodness.,1
