tweet,sarcastic
Great night last night! Muggins here is the commis chef crouched down in the corner. Seriously an honour to help raise money for @acf_uk and work alongside these stellar chefs. Thanks for having us @nickg67 @frontlinechef! https://t.co/mkiTEpMzaz https://t.co/SVgdFYHyi4,1
yeah your girl is fine but does she pass out while giving blood,1
watching tik toks at full volume in the middle of the airport should be a federal offense,1
when I was younger I used to think that time zones also could change by minutes and people in other towns could be in 12:56 while I was in 1:14,0
FUCK JACOB FREY,0
Good morning September... Hello tonsillitis :(,1
"Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder. 

Give.
Me.
Strength.",1
imma still vote for vermin supreme this presidential election 😤,1
"So now that it's not getting banned, should I download TikTok?",1
There is nothing new in an oliver james publication that can't be found elsewhere for free. He's a leftist living a straight bourgeois life,1
I'm glad I'm vacationing in a state where I can wear my shades the entire time without people questioning it,0
it’s crazy how many of your goals you can actually accomplish when you just don’t broadcast everything you’re doing,0
why is the weather having a mid life crisis,1
@catboychika Aren't you happy I gave you less competition for ranking,1
i’m still confused why 11 isn’t pronounced onety one 🤨,0
best day of my life we got a new expensive vaccuum WOOOOOOOO,0
ik the republicans r like tryna say they won but idk why they don’t just settle this w an instagram poll??,1
tyler the creator is really good.,0
"If you invite me to something with a Google Calendar invite, know that I will always join via the Google Meet link. Don't try to add other links in notes; learn how to use the software and then holla at me",0
you would think the odds of me sitting next to the exact same stinky man three bus trips in a row is highly unlikely. alas I seem to be a lucky gal,1
"Unpopular opinion: a cruise is my idea of hell. 

I don't care how expensive/ luxurious it is, it's a firm no.",0
Answer me this: how does my 2014 mac book pro just come back to life?,0
If anyone wants to know how my nights going I tried making a private story on Snapchat and instead made a group chat... I hate my life,1
MTCHEWWWWWWWW,0
"@barcacentre Unemployed and lazy that Messi guy 😂

(I'm being sarcastic guys, I'm warning you lol)",1
"Dora: Where do we go next?
Avery: I ALREADY TOLD YOU, THE TALL MOUNTAIN!! *groans in frustration at Dora's Alzheimer's*",0
True bliss is laying in an ice cold bath during the hottest part of the year,0
"I unsubscribe from being an adult, its not for me",1
"I swear never have a conversation with your man about getting engaged, getting married or having kids because you’ll never get the answer😂🤦🏼‍♀️",0
"They say that dreams mean things, but last night I dreamt I was singing Breaking Free from High School Musical with @Skepta, so what does that mean? 😂",0
"One positive of being stuck inside all the time is I've almost got back to being as good at FIFA as when I was 15, and I consider that an achievement",0
My coworkers play this fun game where they try to describe bars in la crosse &amp; have me guess which one they’re talking about,1
@HerbMessiah hello I have a question can u help me out,0
@SkySportsBoxing if i think you would have a chance against fury i mean its easy for some broken bodied old boy to beat the best in the world,1
Lutalo's back. Now would be a great time to announce his Strictly participation... #bbcolympics #Olympics,0
My living room feels really lively now. I’m recklessly sipping tea absorbing choons #TaeSup,1
"""I can't wait to be a piece of shit with a bachelors degree""",1
"If you prefer chipotle over moes it’s honestly a deal breaker, nothing can beat moes",0
Thanks @myhermes for losing my parcel but giving me someone else's. I'm nice enough to go give it to them though. Please DM me back soon 😐,1
Please please please show your support for my dad and his charity event. 7 sprint triathlons in 7 days - http://t.co/SxC8AhB8nA,0
"Damn, imagine being vaxxed and then getting a cold and then losing your taste and smell.

Oh wait.",1
my hobbies include leaving projects for the night before and then complaining that the teacher didn't give us enough time 🙃🙃,1
"But by far, my favorite part was a very drunk Rachel running over yelling ""I JUST KISSED A GIRL FOR MORE THAN THREE SECONDS!""",0
"Going to M&amp;S food will be the highlight of my day later, can’t wait👌🏻😅",1
"Enjoy the bars and vineyards✌🏻
Make sure to send postcards to the people dying in your local hospitals.  I’m sure they’ll be glad you’re not bored anymore",1
"Hear me out... The lyrics in ""coney island"" should've been ""lost again with no surprises, disappointments close your EYESES"" 

Fixed it for you @taylorswift13 😉

#evermorealbum 
@taylornation13",1
Happy birthday Kayleigh!!! Hope you have a great day ❤️🎉 @_kayleighope,0
"@Mr_M_Dent This unlocked a series of deeply-buried childhood memories... yep, you can definitely tell whose jumper is whose by smell.",0
"https://t.co/RahMICqi7v loving this track by the late @Viola_Beach , vibes of Foals and Friendly Fires. Chorus brings so many feels, RIP X",0
It's hard to cope without any hope.,0
Just watched a man smoke crack on the R train in front of 3 families. New York is healing ✨,1
Who's ready for monsoon storms allllll weekend?!?!,1
"""If you can talk with crowds and keep your virtue, or walk with kings nor lose the common touch""",0
Can’t wait to be back at uni so I can order more shoes and clothes without my mum telling me off x,1
Just tested my egg drop at my apartment complex and it fell on a man’s head :) but no worries he was bald so the yolk just wiped right off,1
stolen from somewhere https://t.co/Z63uRPkX93,0
💫jsc bonding nights💫🥰🥳,1
"Watched the #matthanock clip and immediately my mental health regressed, and not just cos he fucked the NHS",0
When your @Apple delivery gets stolen by a UK Mail delivery driver and the police know who it is but I still don’t get taken seriously🙃🙃🙃,1
Hi 👋🏻,0
Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,1
The high tomorrow is 45! Anyone wanna go to the pool?,1
Love everything in my basket selling our before the sale was meant to start😒 @ZARA_Care @zara,1
"Forgot to wash my hands after using self tanner so now I have what looks like just-ate-chicken-wings hands, but permanently",0
I hope the Knicks make a run to the finals. This atmosphere is so fun to watch.,0
"lorde writes one, ONE song about her dog (who passed shortly following) and now im crying on the pink line",0
"Research-based tips for helping your workforce recover, reconnect and re-engage https://t.co/h5wmbXlHE8",0
I just wanna know why God couldn’t have given me just a little bit of titty..???,0
Do you think anyone on Bachelor in Paradise has seen Oscar winner Parasite?,1
"@izzychari @mikeduncan “Please get a free shot or take a once weekly nose swab. We will literally pay you to take time off to get the shot”- Czar Nicholas, King George, Charles I, and so on.",1
"Love the people in my life, no matter what I go through, anytime I need to talk they’re always there to listen ❤️",0
You've reached full-blown adulthood when stacking coupons on top of CashApp boosts feels like an untouchable power move,0
I ask myself everyday why did i pick art?,0
"So our landlord just brought in new sofas which is lovely but in the process broke a table, someone’s cup and spilt tea on the carpet and left saying “you should probably clean that up” thanks Darren 🖕🏼",1
2020 couldn’t get any worse https://t.co/PeBHqsc2MB,0
I too enjoy making shit up and pretending like I understand basic economic principles https://t.co/cHDBHaxBBR,1
I can’t wait to hear more about the life of an upper middle class East Asian American whose only personality trait is drinking boba tea https://t.co/SapbXLd0r2,1
"Can’t wait to get home take a big ass antihistamine and roll in some topical steroids.

Damn it, skin! What did I ever do to you?!?!",1
i just love everyone posting wholesome pics with their pets when theyre home for break,0
"how you gonna ask me how i’m doing “on this fine labor day” while you’re off, as I’m ringing you out, on labor day.
how do you think i am 💀",1
"@ZionWarrior6 I think lunch was ready at the care home, then it was time for nap and then Countdown.",1
Elaine Quijano exhibits roughly the same amount of control over this debate as two rabbits do on their first date.,1
"So, a country that is trillions in debt, with numbers approaching 13 million on surgical waiting lists and hurtling towards facism regime, is talking about rescuing people from a facist regime?",1
"Introject-heavy systems are really neat, keep trucking on you cool beans",0
ima get up early tomorrow and make some tea and sit on the patio oh how I love to imagine things im never gonna do,1
why is getting an eye exam so HUMILIATING,0
The control button just fell off my laptop. How symbolic for my life.,1
Using my recently acquired video editing skills on myself for a change. An oral #presentation assignment on #healtheconomics is as much fun as it sounds 🗣🎥 https://t.co/1LKHVyupie,1
could have gone to bed early but instead have been messing around on a random color palette generator for an hour,0
"you like ketchup but not tomatoes???

grow up",1
@StarbucksUK is it acceptable for students to study in your stores? what are the general rules? thank you!,0
President Biden: “We’re going to protect vaccinated workers from unvaccinated co-workers” https://t.co/D6fjWmdRW4,0
#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome ☺️,1
"@inkofreality @StrangerTings1 @nytimes You're so close to understanding baseline biasing. You can get there, I believe in you!",1
"If you have to announce that you treat women right, I am inclined to believe the exact opposite.",0
it's funny my mom thinks i possess no remorse when i feel remorse everyday for existing 😎,1
I have stretch marks from losing weight ahdjfkfbckdkehdidb THANKS BODY,0
eddie kendricks discography is crazy,0
"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ❤️",1
When I see your face there's not a thing that I would change,0
Entry level jobs that require 3 years prior experience 💕💕 ly 💕💕,1
"Man-spider. The story of a spider who's bitten by a human and now has the powers of a human. Working in an office, wasting money on artisan coffee, and giving up his bus seat to a woman who turns out not to be pregnant, but just ""likes sandwiches you a-h*le"".
#IntoTheSpiderVerse",1
"Roses are Red
Violets are Blue
My first love was Championship Manager
Tommy Svindal Larsen and Kennedy Bakircioglu 

#HappyValentinesDay",1
"USA is turning into the 40-something uncle who turns up to the wedding reception, gets drunk &amp; takes the mic from the band to sing Sweet Caroline, but gets all the words wrong.

Highly entertaining but a total fucking train wreck that you’re glad you don’t have to see more often.",0
"#DominicCummings Sack him. Or better yet, charge him.",0
"🌶 Spiced Coconut curry 🥥

.
A weekend spent with friends brings a week of content... or something like that 😜

.
Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u",1
just wondering how to get my diss down by 1500 words .. such fun,1
Midwife means with woman be it a male or female midwife that's what we are there to do #WomanCentredCare Thank you @loosewomen and @jacquelineMjos for highlighting the work we do as midwives. Seeing a happy and healthy mum and baby knowing I made a difference #allthethanksineed,0
"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",1
It makes me happy when I watch comedy panel shows and my favourite comedians get along. WE CAN ALL BE FRIENDS.,0
"You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag 🙈😫",1
Perfect way to end a 2+ hour @SunCountryAir deley: getting stuck on the tarmack at @mspairport waiting to go to a gate for almost an hour 🙄,1
i have this reoccurring nightmare where i accidentally forget to put on shoes before school and i have to spend the whole day barefoot,0
yes i have little interest in doing things that applies to me,1
Throwback to when I answered the phone at work with “thank you for calling Courtney! My name is principal” wow I love myself,1
people in london are always asking me for directions !! i am as lost as you !!!!!,0
The fact that I went to high school with someone who was in that group and was an ab*ser. Like all a group of sickos tbh https://t.co/VNSvQBx3xC,0
"oh sure, the mic’d up pitcher at the MLB all-star game can say “god dammit” but when my 13 year old softball player says it she gets a “language warning” 😂",1
Thought I would be brave and sit in between two boys in Ochem. Ring check? They're both married...😒 #BYUProbs,0
"in elementary school, my parents gave me money for a book and i came home with a beta fish.",0
Cheers @ASOS delivery lady for dropping my parcel off covered in coffee 😒👌🏼 https://t.co/UzY4gJS9DE,1
@xNemoooo @McDonaldsUK @tasshx Say swear you didn’t down all bev’s at Acapulco’s straight after?? 😘,1
"@lordmelbury2 Red Light Indicates Doors Are Secured (Arctic Monkeys), which could also be included in a separate question of songs that include the title only once in the lyrics",0
Headaches that last all day nonstop🥰😍,1
my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.,1
grimes was the vibe for this evening,0
things are looking UP omg I am so excited for this next chapter of my life,0
Target just brings me too much joy,0
"“If I could have changed anything about my childhood I would have never watched spongebob”

-no one",1
"it’s been 3 years, i know i will sob the second they walk on stage https://t.co/qCuo6I9SQq",0
My president https://t.co/xaH8cLpdQV,0
why is someone jackhammering at 8am omfg,0
"Quarantine Day 256: Dear Ancient Greeks, re: the blanket-wearing—I get it. #QuarantineLife",1
I love it when someone criticses my parenting then their adult son cuts his finger off with a knife and breaks his leg by falling off a bike,1
I WISH I WAS SMART ENOUGH FOR FIND THE DOCTOR,0
It’s been a blissful 2.5 hours of sleep tonight,1
"@lthomasnews I’ve read versions of this before. Bush wanted any excuse to go to Iraq, he wanted to finish the job his dad started in the first Gulf War",0
"@Showmasters are basically thieves, quoting it’s in the small print so you can’t have a refund.
Dates moved from summer, to a 4 hour slot on a Friday evening in November which is about as much use as a telescopic sight on a knife.#WeWantARefund @UKConsumerRight",1
2 x sand eating toddlers for sale. No previous owners. DM for details x,1
I want to see Drew Lock cry,0
watching olympic womens beach volleyball for the plot,1
Does anyone else have to listen to extremely high energy music in order to work or is that just me?,0
"Today has been a good day, I didn't fall off a ladder, my model train show tickets came, I got mentioned on @WWFCFancast, they liked my bostocks cup recommendation, and more importantly, they got my name right! Hurrah.",0
@ShareZone5 @StockpickB You are a right bundle of laughs to take to the pictures Draft!,1
They really said you can’t have nice weather AND no lockdown for your bday this year huh,1
am honestly so disturbed by the star signs changes?? like I’m a Scorpio not a libra?? am so so stressed,0
i’ve had more interesting conversations w my wall but alright,1
"This is a great month for me, #NewWorldMMO comes out and literally the 1st of October Im going to see #TheManySaintsOfNewark if its 2 things people know about me is that I love MMOs and The Sopranos",0
. @shopDisney thanks for shutting down the only Disney Store in northeastern Ohio. The other two stores went out of business yrs ago. It’s not the same with shipping costs online not to mention LE doll sales are an absolute nightmare online. So unbelievably disappointing. 💔,1
Football’s back. NFL’s back. James Wan’s back with a horror. This weekend is set up for absolute glory,0
"“tit for tat, butter for fat, you kill my dog, i eat your cat” is a liberian proverb for “an eye for an eye”. my ancestors were spittin’",1
"The most 2020 quote of the year:

Me: we should go to the Van Gogh Museum!
Little Brother: is that the donny with one ear?",1
first vaccine done eeeeeeeeek,0
Trying to know all this history tonight is gonna kill me,1
Passed my theory,0
Men will literally fake an injury on the football field instead of going to therapy,1
"Amazing! Simply amazing.

Well done Sky Brown. You are an inspiration to all of us. 

https://t.co/VppUp4n7Y0",0
Chris Krebs: There is no foreign power that is flipping votes. There's no domestic actor flipping votes. I did it right. We did it right. This was a secure election https://t.co/DSIIVYPSoI,0
An uppity receptionist just told me an initial assessment to have someone simply look at my teeth the exact same way my dentist did for free will cost £165. I might have laughed at them down the phone.,0
Just nearly cried in the tesco express because they didn’t have the cheese pizza or the back up pizza I wanted. My mental stability is strong today.,1
The Goonies will always be one of my favorite movies,0
Lovely day to be stuck at the mall with a dead battery.,1
Hahahah @LibertyU is shutting down the entire campus for quarantine!! Couldn’t happen to a nicer group of Covid deniers! #CovidIsNotOver #karmaisabitch #Covid_19,1
Where is the Chancellor? Please check the back of your sofas.,1
IBIZA HAS JUST BEEN BOOKED AGAIN wohooooooooo 🎉👏🎉👏,0
"Well done to the guy who was charging down the stairs at Ealing Broadway and sent me flying, you made me cry.",1
Best of luck to everybody taking part in the Southend Half Marathon this morning. Hopefully my shins will hold out! All hail Deep Freeze!,0
"oh also, my song with my middle school boyfriend was “143” by Bobby Brackins!! i really peaked geez",1
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",1
"I'm literally out here trading eggs for potatoes

Day 1 in our new dystopian society is going well #coronavirusUK #coronavirus",1
pay it forward is honestly one of the worst movies I've ever seen why would would anyone make an ending so sad I've been crying for 30 min,1
When you order books from the bookstore a week in advance and then you wait three weeks for ONE book and when you finally email them about it they reply and say they cancelled your order 😍🥰,1
we love when the power goes out at 6:30 in the morning on a wednesday https://t.co/BBIQ7ZYS3x,1
They should just put a wall around the pitch to stop the ball going out,1
The amount of McDonald’s Diet Coke’s I’ve purchased in the past week is embarrassing,0
"Day 38 of quarantine is an interesting time to get a new drum kit, neighbor",1
Just forced myself to go to class and spilt hot coffee in my lap while driving. How’s your day going? 😅,0
Can cats wear nail polish,1
"Congratulations to Trump on his second impeachment. It’s a tremendous achievement borne of hard work, focus and dedication. Record breaking. Historic. Bigly. #ImpeachmentDay #TrumpImpeachment2",1
Simone Biles is the strongest person I know and I will straight up fight anybody who tries to say something else. Also I would still die for Grace McCallum she is so precious.,0
@kmflett And with a plentiful supply of rhubarb.,1
i love the word junction,0
Anyone need a body for a human sacrifice? Trying to find a valid excuse to not go to work today.,1
just stuck my entire hand in a hot oven without thinking about the consequences. self preservation is clearly my strong suit,1
"now I’m no mathematician, but pretty sure it doesn’t take 7 cops to arrest 1 person",0
"me: revises cells + other general biology stuff
edexcel: ""i want a fit summer bod, get them to tell me how i get one""
#EdexcelBiology #Gcses2018",1
I’m getting the vaccine on Wednesday 😭😭😭,0
"so we saved the liquid from when we cooked some rhubarb the other day and froze it into ice cubes. just had a couple cubes in some lemonade, and it's /amazing/ and mum and i are geniuses",0
Literally don’t fucking talk to me unless you are wearing a mask,0
"Ok but seriously.
Why did Hasting’s go back to Carmichael and tell her? Setting her up for the next season? Or am I just clutching at straws?! Considering he was appealing too?Surely there’s another one, it didn’t tie the ends up it asked more questions! Thurwell wasn’t dead?!",0
I reckon zoella will get engaged in New York this year,0
It is absolutely not a good idea to rewatch the series finale of The Office just weeks away from graduating college 😬😭😫,0
"Bart is closed rn in Oakland so I can’t go to work, I’m so upset....",1
